Price (M),Brand,Model,Year,Mileage (km),Fuel type,Engine capacity (CC),Transmission
7.15,Suzuki,Wagon R Stingray,2018,130000,Petrol,650,Automatic
122,Lexus,LX600,2025,0,Petrol,3500,Automatic
12.25,Toyota,Taisor,2026,0,Petrol,1000,Automatic
7.275,Ford,Ecosport,2017,160000,Petrol,1500,Automatic
5.195,Suzuki,Other Model,2016,89171,Petrol,650,Automatic
12.25,Toyota,Taisor,2026,0,Petrol,1000,Automatic
140,Lexus,Other Model,2025,0,Hybrid,3500,Automatic
11.75,Ssang Yong,Rexton,2015,110000,Diesel,2000,Automatic
8.45,Suzuki,Hustler,2025,215,Hybrid,650,Automatic
12.15,Kia,Other Model,2025,78,Petrol,1000,Automatic
6.975,Ford,Ecosport,2015,120000,Petrol,1500,Automatic
6.39,Daihatsu,Mira,2023,2000,Petrol,660,Automatic
11,Toyota,Taisor,2025,0,Petrol,1000,Automatic
3.35,Suzuki,Wagon R,2003,206000,Petrol,990,Manual
11,Toyota,Taisor,2025,0,Petrol,1000,Automatic
7.975,Honda,CRV,2011,180000,Petrol,2000,Automatic
26.1,Toyota,Hilux,2025,12,Diesel,2800,Automatic
76,Toyota,Land Cruiser Prado,2025,0,Diesel,2800,Automatic
7.3,Toyota,Vitz,2016,110200,Petrol,1000,Automatic
17.39,Honda,Vezel,2023,6000,Hybrid,1500,Tiptronic
32.5,Mercedes Benz,GLB,2024,4000,Hybrid,1300,Automatic
26.5,BMW,X5,2016,42300,Hybrid,1997,Automatic
3.45,Suzuki,Alto,2011,220000,Petrol,1000,Manual
17.5,Mitsubishi,Montero,2007,155000,Diesel,3200,Tiptronic
23.2,Toyota,Hilux,2023,16848,Diesel,2400,Automatic
15.49,Toyota,Yaris Cross,2023,29500,Hybrid,1500,Automatic
9.675,Toyota,Yaris,2023,17900,Petrol,1000,Automatic
6.675,Daihatsu,Mira,2025,0,Petrol,650,Automatic
9.45,Honda,Grace,2017,142098,Hybrid,1500,Automatic
10.5,Honda,Vezel,2016,93000,Hybrid,1500,Automatic
2.425,Maruti Suzuki,800,2011,84000,Petrol,800,Manual
5.975,Toyota,Yaris,2021,130000,Diesel,1300,Automatic
8.75,Daihatsu,Taft,2025,0,Petrol,660,Automatic
4.1,Nissan,Cefiro,2001,185000,Petrol,2000,Automatic
20.65,Honda,Vezel,2025,10,Hybrid,1500,Automatic
5.875,Toyota,Corolla,2003,175000,Petrol,1500,Automatic
11,Toyota,Taisor,2025,0,Petrol,1000,Automatic
11,Toyota,Taisor,2025,0,Petrol,1000,Automatic
12.3,Toyota,Raize,2025,16500,Petrol,1000,Automatic
22.5,BMW,520d,2014,190000,Diesel,2000,Automatic
32,Audi,Q4 E-Tron S Line,2023,0,Electric,155,Automatic
3.85,Suzuki,Alto,2015,194000,Petrol,796,Manual
11,Mitsubishi,Outlander,2014,123000,Hybrid,2000,Automatic
17.45,Audi,A3,2024,6000,Petrol,1000,Automatic
9.9,DFSK,Glory,2022,56000,Petrol,1500,Automatic
20.7,Toyota,Yaris Cross,2025,10,Hybrid,1500,Automatic
42.5,BMW,X1,2025,10,Hybrid,1500,Automatic
13,Mitsubishi,Eclipse Cross,2019,105000,Petrol,1500,Automatic
5,Toyota,Vitz,2005,149000,Petrol,990,Automatic
50.45,Toyota,Land Cruiser Prado,2023,30000,Petrol,2700,Automatic
32.3,Toyota,Voxy,2025,10,Hybrid,1800,Automatic
9.475,Honda,Vezel,2014,112000,Hybrid,1500,Automatic
6,Mitsubishi,Strada,1996,39000,Diesel,2470,Manual
78,Toyota,Land Cruiser Prado,2024,3000,Diesel,2800,Automatic
12.55,Toyota,CHR,2018,98000,Petrol,1200,Automatic
92.5,Toyota,Land Cruiser Sahara,2025,10,Petrol,3500,Automatic
7.55,Suzuki,Wagon R FX,2024,10000,Petrol,660,Automatic
8.7,Suzuki,Wagon R ZX,2025,0,Hybrid,660,Automatic
16,Toyota,Yaris Ativ,2025,0,Petrol,1200,Automatic
6.95,Toyota,Vitz,2015,211000,Petrol,1000,Automatic
16.25,Mercedes Benz,E300,2015,75000,Diesel,2000,Automatic
8.75,Honda,Fit Shuttle,2012,200000,Hybrid,1300,Automatic
14.25,Toyota,Raize,2025,10,Hybrid,1200,Automatic
7.2,Perodua,Bezza,2018,85790,Petrol,1000,Automatic
30.6,Toyota,Hilux,2025,10,Diesel,2800,Automatic
11.5,Honda,CRV,2013,134373,Petrol,2000,Automatic
64,Land Rover,Defender,2023,15000,Petrol,2000,Automatic
3.59,Suzuki,Alto,2015,97000,Petrol,800,Manual
6.99,Honda,CRV,2004,132000,Petrol,1999,Automatic
3.075,Zotye,Z100,2016,80000,Petrol,1000,Manual
11.95,Toyota,Taisor,2025,0,Petrol,1000,Automatic
62.75,BMW,525i,2025,2000,Petrol,2000,Automatic
11.7,Kia,Other Model,2026,0,Petrol,1000,Automatic
8.75,Toyota,Roomy,2023,16500,Petrol,1000,Automatic
9.375,Honda,Vezel,2015,110000,Hybrid,1500,Automatic
6.7,Nissan,Leaf,2014,111350,Electric,80,Automatic
2.2,Toyota,Corona,1988,212000,Petrol,1500,Manual
2,Nissan,Sunny,1987,300000,Petrol,1500,Manual
16.9,Toyota,Hilux,2016,135000,Diesel,3000,Automatic
6.85,Honda,Insight,2009,173000,Petrol,1330,Automatic
6.69,Daihatsu,Move,2017,71890,Petrol,650,Automatic
0.8,Honda,Beat,1998,300000,Petrol,2000,Manual
1.849,Tata,GenX Nano,2014,184000,Petrol,624,Manual
8.7,Suzuki,Wagon R,2024,8500,Petrol,650,Automatic
12.385,MG,ZS,2026,0,Petrol,999,Automatic
50.8,Toyota,Land Cruiser Prado,2023,29000,Petrol,2700,Automatic
17.9,Honda,Vezel,2023,60000,Hybrid,1500,Automatic
7.85,Honda,N-Box,2023,11000,Petrol,650,Automatic
6.675,Daihatsu,Mira,2025,0,Petrol,660,Automatic
7.02,Suzuki,Wagon R FX,2024,7000,Petrol,660,Automatic
18.9,Honda,Vezel,2024,12000,Hybrid,1500,Automatic
18.95,Honda,Vezel,2024,12000,Hybrid,1500,Automatic
18.85,Honda,Vezel,2025,6000,Hybrid,1500,Automatic
15,Peugeot,5008,2019,75000,Petrol,1200,Automatic
35,Mercedes Benz,GLB,2024,9000,Petrol,1330,Automatic
61.97,Toyota,Vellfire,2025,37,Hybrid,2500,Automatic
14.25,Mitsubishi,Eclipse Cross,2020,55000,Petrol,1500,Automatic
23.7,Toyota,Hilux,2024,9000,Diesel,2400,Automatic
98.9,Toyota,Land Cruiser Sahara,2025,77,Diesel,3300,Automatic
12.95,Toyota,Prius,2016,154300,Hybrid,1800,Automatic
6.09,Suzuki,Wagon R FX,2018,86436,Hybrid,650,Automatic
18.59,Honda,Vezel,2026,5,Hybrid,1500,Automatic
6.99,Suzuki,Wagon R Stingray,2017,93732,Hybrid,650,Automatic
17.5,Toyota,Premio,2019,48536,Petrol,1490,Automatic
8.575,Hyundai,Santa Fe,2011,125015,Diesel,2199,Automatic
5.95,Nissan,Tiida,2010,234806,Petrol,1490,Automatic
5.475,Daihatsu,Mira,2017,58830,Petrol,650,Automatic
8.99,Kia,Sportage,2013,193356,Petrol,1995,Automatic
6.45,Suzuki,Wagon R FZ,2017,122500,Hybrid,660,Automatic
20.8,Audi,A3,2023,10000,Petrol,1000,Tiptronic
46,Land Rover,Range Rover,2018,45500,Diesel,2000,Automatic
10.65,Toyota,Taisor,2025,0,Petrol,1000,Automatic
6.1,Suzuki,Alto,2024,10000,Petrol,660,Automatic
5.025,Toyota,Passo,2009,127000,Petrol,990,Automatic
21.75,BMW,X1,2020,34000,Petrol,1500,Automatic
69.59,Audi,Q7,2024,0,Petrol,1984,Automatic
50.95,Toyota,Land Cruiser Prado,2023,16200,Petrol,2700,Automatic
25.9,Toyota,Hilux,2025,0,Diesel,2800,Automatic
25.9,Toyota,Hilux,2025,0,Diesel,2800,Automatic
13.75,Audi,Q3,2016,90000,Petrol,1400,Tiptronic
25.9,Toyota,Hilux,2025,0,Diesel,2800,Automatic
11.625,Hyundai,Venue,2025,0,Petrol,1000,Automatic
12.5,Toyota,Taisor,2025,0,Petrol,1000,Automatic
11.625,Hyundai,Venue,2025,0,Petrol,1000,Automatic
2.15,Suzuki,Maruti,2005,74000,Petrol,800,Manual
10.99,Toyota,Urban Cruiser,2025,0,Petrol,1000,Automatic
10.99,Toyota,Urban Cruiser,2025,0,Petrol,1000,Automatic
10.99,Toyota,Urban Cruiser,2025,0,Petrol,1000,Automatic
10.99,Toyota,Urban Cruiser,2025,0,Petrol,1000,Automatic
12.8,BMW,530d,2006,105942,Diesel,3000,Manual
10.99,Toyota,Urban Cruiser,2025,0,Petrol,1000,Automatic
9.49,Suzuki,S-Cross,2018,86000,Petrol,990,Automatic
3.7,Nissan,March,2002,232600,Petrol,1000,Automatic
20.6,Honda,Vezel,2025,0,Hybrid,1500,Automatic
